Line #,Key,en Version,hy Translation
448,hy.admin.index.title,Administration Section,Administration Section
449,hy.admin.index.users,Users,Users
450,hy.admin.users.edit.title,Editing User,Editing User
451,hy.admin.users.index.title,Users,Users
452,hy.admin.users.new.title,New User,New User
453,hy.admin.users.show.title,User Details,User Details
454,hy.root.index,,
455,hy.root.about.title,About Chai Khana,About Chai Khana
456,hy.root.embed.home_link,Built on Chai Khana,Built on Chai Khana
457,hy.stories.index,,
458,hy.stories.new.title,Story Settings Form,Story Settings Form
459,hy.stories.edit.title,Story Settings Form,Story Settings Form
460,hy.stories.form.placeholder.title,Title of Story,Title of Story
461,hy.stories.form.placeholder.permalink,URL to the story,URL to the story
462,hy.stories.form.placeholder.author,Author(s) of the article,Author(s) of the article
463,hy.stories.form.placeholder.media_author,Author(s) of photos and/or videos,Author(s) of photos and/or videos
464,hy.stories.form.placeholder.translation_author,Author(s) that translated the story into this language,Author(s) that translated the story into this language
465,hy.stories.form.hint.title,Story title will appear at the top of your story,Story title will appear at the top of your story
466,hy.stories.form.hint.permalink,"The default URL is the title of the story, but you can change it if desired","The default URL is the title of the story, but you can change it if desired"
467,hy.stories.form.hint.author,Select the author(s) of the story to allow the story to appear on their webpage.,Select the author(s) of the story to allow the story to appear on their webpage.
468,hy.stories.form.hint.media_author,Author names will appear below the Story Author names,Author names will appear below the Story Author names
469,hy.stories.form.hint.translation_author,Author names will appear below the Photo and Video Author names,Author names will appear below the Photo and Video Author names
470,hy.stories.form.hint.published,Published stories are available for the world to view,Published stories are available for the world to view
471,hy.stories.form.hint.publish_home_page,"If checked, your published story will appear on the site's homepage","If checked, your published story will appear on the site's homepage"
472,hy.stories.form.hint.template,Choose template to apply styling to story,Choose template to apply styling to story
473,hy.stories.form.hint.thumbnail,Image that is used to show the story on the home page when the story is published (jpg and png only; 4MB file size limit),Image that is used to show the story on the home page when the story is published (jpg and png only; 4MB file size limit)
474,hy.stories.form.hint.editor,Person that created the story record in this website,Person that created the story record in this website
475,hy.stories.form.hint.editors,Select people that you want to give access to edit the story,Select people that you want to give access to edit the story
476,hy.stories.form.hint.about,Short summary of story that will be used on the home page and when you story is shared,Short summary of story that will be used on the home page and when you story is shared
477,hy.stories.form.hint.locale,Select the language of your story. Allows users to filter stories by a language.,Select the language of your story. Allows users to filter stories by a language.
478,hy.stories.form.hint.categories,Select the category(s) your story belongs to.  Allows users to filter stories by a category.,Select the category(s) your story belongs to.  Allows users to filter stories by a category.
479,hy.stories.form.hint.tag_list,"Enter text to find existing tags.  If your tag does not exist yet, press 'Enter' to add the new tag to the list.","Enter text to find existing tags.  If your tag does not exist yet, press 'Enter' to add the new tag to the list."
480,hy.stories.form.hint.story_type,Select the type of your story.,Select the type of your story.
481,hy.stories.form.hint.theme,Select the theme(s) your story belongs to.,Select the theme(s) your story belongs to.
482,hy.stories.form.hint.in_theme_slider,"If checked, this story will appear in the slider at the top of the theme page.","If checked, this story will appear in the slider at the top of the theme page."
483,hy.stories.collaborators.title,Collaborators for '%{title}',Collaborators for '%{title}'
484,hy.stories.collaborators.owner_header,Story Author,Story Author
485,hy.stories.collaborators.collaborators_header,Story Collaborators,Story Collaborators
486,hy.stories.collaborators.explanation,A story collaborator is someone that has access to edit this story.,A story collaborator is someone that has access to edit this story.
487,hy.stories.collaborators.editors_header,Editors,Editors
488,hy.stories.collaborators.editor_explanation,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.,An Editor has access to add/edit the story and translate the story into any language. An Editor can also add collaborators and publish the story.
489,hy.stories.collaborators.translators_header,Translators,Translators
490,hy.stories.collaborators.translator_explanation,"A Translator has access to translate the story into a specific language(s). A Translator does not have the ability to edit the original story, add collaborators or publish the story.","A Translator has access to translate the story into a specific language(s). A Translator does not have the ability to edit the original story, add collaborators or publish the story."
491,hy.stories.collaborators.remove_title,Remove %{name},Remove %{name}
492,hy.stories.collaborators.not_accepted_title,%{name} has not accepted the invitation yet,%{name} has not accepted the invitation yet
493,hy.stories.collaborators.add_header,Add Collaborators,Add Collaborators
494,hy.stories.collaborators.add_explanation,"For the users you enter below, an email will be sent inviting them to be a collaborator on this story.","For the users you enter below, an email will be sent inviting them to be a collaborator on this story."
495,hy.stories.collaborators.editor_label,Enter the names or email addresses of the editors,Enter the names or email addresses of the editors
496,hy.stories.collaborators.language_label,Select the translation language(s),Select the translation language(s)
497,hy.stories.collaborators.translator_label,Enter the name or email address of the translator,Enter the name or email address of the translator
498,hy.stories.collaborators.translator_add,Add Another Translator,Add Another Translator
499,hy.stories.collaborators.translator_remove,Remove Translator,Remove Translator
500,hy.stories.collaborators.message,Add Message to Notification (optional),Add Message to Notification (optional)
501,hy.stories.collaborators.submit,Send Collaboration Invitation,Send Collaboration Invitation
502,hy.stories.media.form_title,Full-Screen Media Slideshow Form,Full-Screen Media Slideshow Form
503,hy.stories.media.left,Left,Left
504,hy.stories.media.center,Center,Center
505,hy.stories.media.right,Right,Right
506,hy.stories.media.image,Image,Image
507,hy.stories.media.video,Video,Video
508,hy.stories.media.floating,Floating,Floating
509,hy.stories.media.fixed,Fixed,Fixed
510,hy.stories.media.placeholder.title,Media title,Media title
511,hy.stories.media.placeholder.caption,Caption text,Caption text
512,hy.stories.media.placeholder.source,Source of the image/video,Source of the image/video
513,hy.stories.media.hint.title,"This text only appears in the left sidebar, it will not show up in the story","This text only appears in the left sidebar, it will not show up in the story"
514,hy.stories.media.hint.media_type,"For videos, an image is necessary because videos are not loaded on mobile devices.","For videos, an image is necessary because videos are not loaded on mobile devices."
515,hy.stories.media.hint.caption,"Caption text will appear on top of the image/video. If this is the first item in the story, the caption text is hidden.","Caption text will appear on top of the image/video. If this is the first item in the story, the caption text is hidden."
516,hy.stories.media.hint.source,"Source of the image/video, appears in the bottom-right corner","Source of the image/video, appears in the bottom-right corner"
517,hy.stories.media.hint.image,Only jpg format allowed; 4MB file size limit,Only jpg format allowed; 4MB file size limit
518,hy.stories.media.hint.video,"Only mp4, mov, webm, ogv, flv, avi and wmv formats accepted; 25MB file size limit. After videos are uploaded they must be processed before they are available for viewing. You will receive a notification when the processing is complete, typically within a few minutes.","Only mp4, mov, webm, ogv, flv, avi and wmv formats accepted; 25MB file size limit. After videos are uploaded they must be processed before they are available for viewing. You will receive a notification when the processing is complete, typically within a few minutes."
519,hy.stories.media.hint.caption_align,The Caption text will appear on top of the image/video (appears on the left by default) ,The Caption text will appear on top of the image/video (appears on the left by default) 
520,hy.stories.media.hint.infobox_type,The Caption text can float on top of the image/video or can be fixed at the bottom of the image/video,The Caption text can float on top of the image/video or can be fixed at the bottom of the image/video
521,hy.stories.media.hint.video_loop,"If checked, the video will loop infinitly, otherwise the video will not loop","If checked, the video will loop infinitly, otherwise the video will not loop"
522,hy.stories.section.form_title,Section Form,Section Form
523,hy.stories.section.yes,Yes,Yes
524,hy.stories.section.no,No,No
525,hy.stories.section.placeholder.title,Section title,Section title
526,hy.stories.section.hint.title,"This text appears in the left sidebar and, if Navigation Shortcut is selected, will appear as the title text for the shortcut","This text appears in the left sidebar and, if Navigation Shortcut is selected, will appear as the title text for the shortcut"
527,hy.stories.section.hint.type,Selecting this type determines what kind of information you can add into this section,Selecting this type determines what kind of information you can add into this section
528,hy.stories.section.hint.has_marker,"If checked, there will be a navigation shortcut link to go to this section","If checked, there will be a navigation shortcut link to go to this section"
529,hy.stories.section.hint.audio,Background audio to play while this section is in view (mp3 format only; 10mb file size limit),Background audio to play while this section is in view (mp3 format only; 10mb file size limit)
530,hy.stories.section.hint.delete_audio,"If checked, the Audio Track will be deleted","If checked, the Audio Track will be deleted"
531,hy.stories.content.form_title,Text Form,Text Form
532,hy.stories.content.placeholder.title,Text title,Text title
533,hy.stories.content.placeholder.caption,optional,optional
534,hy.stories.content.placeholder.sub_caption,optional,optional
535,hy.stories.content.hint.title,"This text only appears in the left sidebar, it will not show up in the story","This text only appears in the left sidebar, it will not show up in the story"
536,hy.stories.content.hint.caption,Heading of text will appear at the top of the section,Heading of text will appear at the top of the section
537,hy.stories.content.hint.sub_caption,Subheading of text will appear below the Heading,Subheading of text will appear below the Heading
538,hy.stories.content.hint.content,"Text can include html, css styling and images","Text can include html, css styling and images"
539,hy.stories.reviewer_key.title,Private URL,Private URL
540,hy.stories.reviewer_key.desc,"You can copy and share the following URL with whomever you want to review '%{title}' before it is published. These people will have the ability to read your story, but not edit it.","You can copy and share the following URL with whomever you want to review '%{title}' before it is published. These people will have the ability to read your story, but not edit it."
541,hy.stories.slideshow.form_title,Image Slideshow Form,Image Slideshow Form
542,hy.stories.slideshow.add_image,Add Image,Add Image
543,hy.stories.slideshow.placeholder.title,Slideshow Title,Slideshow Title
544,hy.stories.slideshow.placeholder.caption,optional,optional
545,hy.stories.slideshow.hint.title,"This text only appears in the left sidebar, it will not show up in the story","This text only appears in the left sidebar, it will not show up in the story"
546,hy.stories.slideshow.hint.caption,Heading will appear at the top of the slideshow,Heading will appear at the top of the slideshow
