Line #,Key,en Version,az Translation
207,az.helpers.links.story_menu.title.unpublish,Make your story NOT viewable to the world,Make your story NOT viewable to the world
208,az.helpers.links.story_menu.title.review,URL to share this story before publishing,URL to share this story before publishing
209,az.helpers.links.story_menu.title.clone,Copy this story into a new story,Copy this story into a new story
210,az.helpers.links.story_menu.title.export,Download the complete story,Download the complete story
211,az.helpers.links.story_menu.title.delete_story,Deleting a story cannot be undone,Deleting a story cannot be undone
212,az.helpers.links.story_menu.title.translations,Translate your story into other languages,Translate your story into other languages
213,az.helpers.titles.new,New %{model},New %{model}
214,az.helpers.titles.edit,Edit %{model},Edit %{model}
215,az.helpers.titles.story_list,My Stories,My Stories
216,az.helpers.hints.nickname,"Your nickname is used in the URL to your published stories (e.g., nickname/story-title)","Your nickname is used in the URL to your published stories (e.g., nickname/story-title)"
217,az.helpers.hints.local_avatar,Image that is shown in the header bar and on your user page (png and jpg only).,Image that is shown in the header bar and on your user page (png and jpg only).
218,az.helpers.hints.avatar,Image that is shown on the Author's page (png and jpg only).,Image that is shown on the Author's page (png and jpg only).
219,az.helpers.hints.like,Like this story,Like this story
220,az.helpers.hints.unlike,Unlike this story,Unlike this story
221,az.helpers.hints.staff_pick,Select as Staff Pick,Select as Staff Pick
222,az.helpers.hints.staff_unpick,Unselect as Staff Pick,Unselect as Staff Pick
223,az.helpers.hints.is_staff_pick,Staff Pick,Staff Pick
224,az.helpers.hints.clone_asset,"If checked, the file to the left will be used for this translation","If checked, the file to the left will be used for this translation"
225,az.app.language.en,English,English
226,az.app.language.ka,ქართული,ქართული
227,az.app.language.hy,Հայերեն,Հայերեն
228,az.app.language.ru,Русский,Русский
229,az.app.language.az,Azərbaycan,Azərbaycan
230,az.app.buttons.back,View All,View All
231,az.app.buttons.list,View All,View All
232,az.app.buttons.admin,Admin Section,Admin Section
233,az.app.buttons.delete,Delete,Delete
234,az.app.buttons.edit,Edit,Edit
235,az.app.buttons.show,Show,Show
236,az.app.buttons.cancel,Cancel,Cancel
237,az.app.buttons.update,Update,Update
238,az.app.buttons.save,Save,Save
239,az.app.buttons.save_and_next,Save & Next,Save & Next
240,az.app.buttons.create,Create,Create
241,az.app.buttons.reset,Reset,Reset
242,az.app.buttons.remove,Remove,Remove
243,az.app.buttons.confirm,Are you sure?,Are you sure?
244,az.app.buttons.new,New,New
245,az.app.buttons.add_section,Add Section,Add Section
246,az.app.buttons.add_item,Add Item into Section,Add Item into Section
247,az.app.buttons.up,Move Selected Section/Item Up,Move Selected Section/Item Up
248,az.app.buttons.down,Move Selected Section/Item Down,Move Selected Section/Item Down
249,az.app.buttons.delete_item,Delete Selected Section/Item,Delete Selected Section/Item
250,az.app.buttons.preview,Preview,Preview
251,az.app.buttons.preview_image,Preview Image,Preview Image
252,az.app.buttons.preview_video,Preview Video,Preview Video
253,az.app.buttons.preview_audio,Listen To Audio,Listen To Audio
254,az.app.buttons.publish,Publish,Publish
255,az.app.buttons.unpublish,Unpublish,Unpublish
256,az.app.buttons.clone,Copy this story into a new story,Copy this story into a new story
257,az.app.buttons.export,Download the complete story,Download the complete story
258,az.app.buttons.scroll,Scroll,Scroll
259,az.app.buttons.reviewer_key,Get URL to share this story before publishing,Get URL to share this story before publishing
260,az.app.buttons.reviewer_key_published,Your story is published so there is no need to share this non-published URL,Your story is published so there is no need to share this non-published URL
261,az.app.buttons.explore,Explore,Explore
262,az.app.common.app_name_not_trans,Chai Khana,Chai Khana
263,az.app.common.app_name,Chai Khana,Chai Khana
