Line #,Key,en Version,ru Translation
587,ru.settings.notifications.story_comment_no,"No, do not send me any notifications.","No, do not send me any notifications."
588,ru.settings.notifications.story_comment_yes,"Yes, I want notifications sent to me.","Yes, I want notifications sent to me."
589,ru.settings.notifications.new_stories_sub_title,New Story Notifications,New Story Notifications
590,ru.settings.notifications.new_stories_all,Notify me when any story is added.,Notify me when any story is added.
591,ru.settings.notifications.new_stories_none,I do not want to receive notifications when a new story is added.,I do not want to receive notifications when a new story is added.
592,ru.settings.notifications.new_stories_by_category,Notify me when a story is added to:,Notify me when a story is added to:
593,ru.settings.notifications.language_sub_title,Notification Language,Notification Language
594,ru.settings.notifications.language_label,In what language do you want to receive the notifications?,In what language do you want to receive the notifications?
595,ru.settings.notifications.following_sub_title,Chai Khana Users You Are Following,Chai Khana Users You Are Following
596,ru.settings.notifications.following_label,"You will receive notifications whenever a user you are following publishes a story. To not receive notifications from a user, unfollow them by clicking on their image.","You will receive notifications whenever a user you are following publishes a story. To not receive notifications from a user, unfollow them by clicking on their image."
597,ru.settings.notifications.following_not,"At this time, you are not following any users.","At this time, you are not following any users."
598,ru.settings.notifications.following_title1,Click to unfollow '%{nickname}',Click to unfollow '%{nickname}'
599,ru.settings.notifications.following_title2,Click to follow '%{nickname}',Click to follow '%{nickname}'
600,ru.settings.notifications.submit,Save Settings,Save Settings
601,ru.imageuploader.missing,An error occurred while processing your image. Please try again.,An error occurred while processing your image. Please try again.
602,ru.imageuploader.invalid_type,Invalid file type. Only .jpg or .png is allowed.,Invalid file type. Only .jpg or .png is allowed.
603,ru.imageuploader.size_limit,Image file size is limited to 4MB,Image file size is limited to 4MB
604,ru.devise.mailer.reset_password_instructions.title,Hello %{nickname}!,Hello %{nickname}!
605,ru.devise.mailer.reset_password_instructions.p1,"Someone has requested a link to change your password on Chai Khana, and you can do this through the link below.","Someone has requested a link to change your password on Chai Khana, and you can do this through the link below."
606,ru.devise.mailer.reset_password_instructions.link_title,Change my password,Change my password
607,ru.devise.mailer.reset_password_instructions.p2,"If you didn't request this, please ignore this email.","If you didn't request this, please ignore this email."
608,ru.devise.mailer.reset_password_instructions.p3,Your password won't change until you access the link above and create a new one.,Your password won't change until you access the link above and create a new one.
