Line #,Key,en Version,ru Translation
220,ru.helpers.links.story_menu.title.delete_story,Deleting a story cannot be undone,Deleting a story cannot be undone
221,ru.helpers.links.story_menu.title.translations,Translate your story into other languages,Translate your story into other languages
222,ru.helpers.titles.new,New %{model},New %{model}
223,ru.helpers.titles.edit,Edit %{model},Edit %{model}
224,ru.helpers.titles.story_list,My Stories,My Stories
225,ru.helpers.hints.nickname,"Your nickname is used in the URL to your published stories (e.g., nickname/story-title)","Your nickname is used in the URL to your published stories (e.g., nickname/story-title)"
226,ru.helpers.hints.local_avatar,Image that is shown in the header bar and on your user page (png and jpg only).,Image that is shown in the header bar and on your user page (png and jpg only).
227,ru.helpers.hints.avatar,Image that is shown on the Author's page (png and jpg only).,Image that is shown on the Author's page (png and jpg only).
228,ru.helpers.hints.like,Like this story,Like this story
229,ru.helpers.hints.unlike,Unlike this story,Unlike this story
230,ru.helpers.hints.staff_pick,Select as Staff Pick,Select as Staff Pick
231,ru.helpers.hints.staff_unpick,Unselect as Staff Pick,Unselect as Staff Pick
232,ru.helpers.hints.is_staff_pick,Staff Pick,Staff Pick
233,ru.helpers.hints.clone_asset,"If checked, the file to the left will be used for this translation","If checked, the file to the left will be used for this translation"
234,ru.app.language.en,English,English
235,ru.app.language.ka,ქართული,ქართული
236,ru.app.language.hy,Հայերեն,Հայերեն
237,ru.app.language.ru,Русский,Русский
238,ru.app.language.az,Azərbaycan,Azərbaycan
239,ru.app.buttons.back,View All,View All
240,ru.app.buttons.list,View All,View All
241,ru.app.buttons.admin,Admin Section,Admin Section
242,ru.app.buttons.delete,Delete,Delete
243,ru.app.buttons.edit,Edit,Edit
244,ru.app.buttons.show,Show,Show
245,ru.app.buttons.cancel,Cancel,Cancel
246,ru.app.buttons.update,Update,Update
247,ru.app.buttons.save,Save,Save
248,ru.app.buttons.save_and_next,Save & Next,Save & Next
249,ru.app.buttons.create,Create,Create
250,ru.app.buttons.reset,Reset,Reset
251,ru.app.buttons.remove,Remove,Remove
252,ru.app.buttons.confirm,Are you sure?,Are you sure?
253,ru.app.buttons.new,New,New
254,ru.app.buttons.add_section,Add Section,Add Section
255,ru.app.buttons.add_item,Add Item into Section,Add Item into Section
256,ru.app.buttons.up,Move Selected Section/Item Up,Move Selected Section/Item Up
257,ru.app.buttons.down,Move Selected Section/Item Down,Move Selected Section/Item Down
258,ru.app.buttons.delete_item,Delete Selected Section/Item,Delete Selected Section/Item
259,ru.app.buttons.preview,Preview,Preview
260,ru.app.buttons.preview_image,Preview Image,Preview Image
261,ru.app.buttons.preview_video,Preview Video,Preview Video
262,ru.app.buttons.preview_audio,Listen To Audio,Listen To Audio
263,ru.app.buttons.publish,Publish,Publish
264,ru.app.buttons.unpublish,Unpublish,Unpublish
265,ru.app.buttons.clone,Copy this story into a new story,Copy this story into a new story
266,ru.app.buttons.export,Download the complete story,Download the complete story
267,ru.app.buttons.scroll,Scroll,Scroll
268,ru.app.buttons.reviewer_key,Get URL to share this story before publishing,Get URL to share this story before publishing
269,ru.app.buttons.reviewer_key_published,Your story is published so there is no need to share this non-published URL,Your story is published so there is no need to share this non-published URL
270,ru.app.buttons.explore,Explore,Explore
271,ru.app.common.app_name_not_trans,Chai Khana,Chai Khana
272,ru.app.common.app_name,Chai Khana,Chai Khana
273,ru.app.common.app_intro,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.,Chai Khana is an NGO that provides cross-border journalistic trainings and online publishing for issue-based multi-media coverage in the South Caucasus region.
