BUSINAZE,-1,Don't know
BUSINAZE,0,Disapprove
BUSINAZE,1,Approve
BUSINEUR,-9,Break off
BUSINEUR,-7,Legal skip
BUSINEUR,-5,Not asked
BUSINEUR,-3,Interviewer error
BUSINEUR,-2,Refuse to answer
BUSINEUR,-1,Don't know
BUSINEUR,0,Disapprove
BUSINEUR,1,Approve
BUSINGEO,-9,Break off
BUSINGEO,-7,Legal skip
BUSINGEO,-5,Not asked
BUSINGEO,-3,Interviewer error
BUSINGEO,-2,Refuse to answer
BUSINGEO,-1,Don't know
BUSINGEO,0,Disapprove
BUSINGEO,1,Approve
BUSINIRA,-9,Break off
BUSINIRA,-7,Legal skip
BUSINIRA,-5,Not asked
BUSINIRA,-3,Interviewer error
BUSINIRA,-2,Refuse to answer
BUSINIRA,-1,Don't know
BUSINIRA,0,Disapprove
BUSINIRA,1,Approve
BUSINJEW,-9,Break off
BUSINJEW,-7,Legal skip
BUSINJEW,-5,Not asked
BUSINJEW,-3,Interviewer error
BUSINJEW,-2,Refuse to answer
BUSINJEW,-1,Don't know
BUSINJEW,0,Disapprove
BUSINJEW,1,Approve
BUSINKUR,-9,Break off
BUSINKUR,-7,Legal skip
BUSINKUR,-5,Not asked
BUSINKUR,-3,Interviewer error
BUSINKUR,-2,Refuse to answer
BUSINKUR,-1,Don't know
BUSINKUR,0,Disapprove
BUSINKUR,1,Approve
BUSINRUS,-9,Break off
BUSINRUS,-7,Legal skip
BUSINRUS,-5,Not asked
BUSINRUS,-3,Interviewer error
BUSINRUS,-2,Refuse to answer
BUSINRUS,-1,Don't know
BUSINRUS,0,Disapprove
BUSINRUS,1,Approve
BUSINTUR,-9,Break off
BUSINTUR,-7,Legal skip
BUSINTUR,-5,Not asked
BUSINTUR,-3,Interviewer error
BUSINTUR,-2,Refuse to answer
BUSINTUR,-1,Don't know
BUSINTUR,0,Disapprove
BUSINTUR,1,Approve
BUSINABK,-9,Break off
BUSINABK,-7,Legal skip
BUSINABK,-5,Not asked
BUSINABK,-3,Interviewer error
BUSINABK,-2,Refuse to answer
BUSINABK,-1,Don't know
BUSINABK,0,Disapprove
BUSINABK,1,Approve
BUSINOSS,-9,Break off
BUSINOSS,-7,Legal skip
BUSINOSS,-5,Not asked
BUSINOSS,-3,Interviewer error
BUSINOSS,-2,Refuse to answer
BUSINOSS,-1,Don't know
BUSINOSS,0,Disapprove
BUSINOSS,1,Approve
BUSINARG,-9,Break off
BUSINARG,-7,Legal skip
BUSINARG,-5,Not asked
BUSINARG,-3,Interviewer error
BUSINARG,-2,Refuse to answer
BUSINARG,-1,Don't know
BUSINARG,0,Disapprove
BUSINARG,1,Approve
BUSINAZG,-9,Break off
BUSINAZG,-7,Legal skip
BUSINAZG,-5,Not asked
BUSINAZG,-3,Interviewer error
BUSINAZG,-2,Refuse to answer
BUSINAZG,-1,Don't know
BUSINAZG,0,Disapprove
BUSINAZG,1,Approve
BUSINMOL,-9,Break off
BUSINMOL,-7,Legal skip
BUSINMOL,-5,Not asked
BUSINMOL,-3,Interviewer error
BUSINMOL,-2,Refuse to answer
BUSINMOL,-1,Don't know
BUSINMOL,0,Disapprove
BUSINMOL,1,Approve
MARWUSA,-9,Break off
MARWUSA,-7,Legal skip
MARWUSA,-5,Not asked
MARWUSA,-3,Interviewer error
MARWUSA,-2,Refuse to answer
MARWUSA,-1,Don't know
MARWUSA,0,Disapprove
MARWUSA,1,Approve
MARWARM,-9,Break off
MARWARM,-7,Legal skip
MARWARM,-5,Not asked
MARWARM,-3,Interviewer error
MARWARM,-2,Refuse to answer
MARWARM,-1,Don't know
MARWARM,0,Disapprove
MARWARM,1,Approve
MARWAZE,-9,Break off
MARWAZE,-7,Legal skip
MARWAZE,-5,Not asked
MARWAZE,-3,Interviewer error
MARWAZE,-2,Refuse to answer
MARWAZE,-1,Don't know
MARWAZE,0,Disapprove
MARWAZE,1,Approve
MARWEUR,-9,Break off
MARWEUR,-7,Legal skip
MARWEUR,-5,Not asked
MARWEUR,-3,Interviewer error
MARWEUR,-2,Refuse to answer
MARWEUR,-1,Don't know
MARWEUR,0,Disapprove
MARWEUR,1,Approve
MARWGEO,-9,Break off
MARWGEO,-7,Legal skip
MARWGEO,-5,Not asked
MARWGEO,-3,Interviewer error
MARWGEO,-2,Refuse to answer
MARWGEO,-1,Don't know
MARWGEO,0,Disapprove
MARWGEO,1,Approve
MARWIRA,-9,Break off
MARWIRA,-7,Legal skip
MARWIRA,-5,Not asked
MARWIRA,-3,Interviewer error
MARWIRA,-2,Refuse to answer
MARWIRA,-1,Don't know
MARWIRA,0,Disapprove
MARWIRA,1,Approve
MARWJEW,-9,Break off
MARWJEW,-7,Legal skip
MARWJEW,-5,Not asked
MARWJEW,-3,Interviewer error
MARWJEW,-2,Refuse to answer
MARWJEW,-1,Don't know
MARWJEW,0,Disapprove
MARWJEW,1,Approve
MARWKUR,-9,Break off
MARWKUR,-7,Legal skip
MARWKUR,-5,Not asked
MARWKUR,-3,Interviewer error
MARWKUR,-2,Refuse to answer
MARWKUR,-1,Don't know
MARWKUR,0,Disapprove
MARWKUR,1,Approve
MARWRUS,-9,Break off
MARWRUS,-7,Legal skip
MARWRUS,-5,Not asked
MARWRUS,-3,Interviewer error
MARWRUS,-2,Refuse to answer
MARWRUS,-1,Don't know
MARWRUS,0,Disapprove
MARWRUS,1,Approve
MARWTUR,-9,Break off
MARWTUR,-7,Legal skip
MARWTUR,-5,Not asked
MARWTUR,-3,Interviewer error
MARWTUR,-2,Refuse to answer
MARWTUR,-1,Don't know
MARWTUR,0,Disapprove
MARWTUR,1,Approve
MARWABK,-9,Break off
MARWABK,-7,Legal skip
MARWABK,-5,Not asked
MARWABK,-3,Interviewer error
MARWABK,-2,Refuse to answer
MARWABK,-1,Don't know
MARWABK,0,Disapprove
MARWABK,1,Approve
MARWOSS,-9,Break off
MARWOSS,-7,Legal skip
MARWOSS,-5,Not asked
MARWOSS,-3,Interviewer error
MARWOSS,-2,Refuse to answer
MARWOSS,-1,Don't know
MARWOSS,0,Disapprove
MARWOSS,1,Approve
MARWARG,-9,Break off
MARWARG,-7,Legal skip
MARWARG,-5,Not asked
MARWARG,-3,Interviewer error
MARWARG,-2,Refuse to answer
MARWARG,-1,Don't know
MARWARG,0,Disapprove
MARWARG,1,Approve
MARWAZG,-9,Break off
MARWAZG,-7,Legal skip
MARWAZG,-5,Not asked
MARWAZG,-3,Interviewer error
MARWAZG,-2,Refuse to answer
MARWAZG,-1,Don't know
MARWAZG,0,Disapprove
MARWAZG,1,Approve
MARWMOL,-9,Break off
MARWMOL,-7,Legal skip
MARWMOL,-5,Not asked
MARWMOL,-3,Interviewer error
MARWMOL,-2,Refuse to answer
MARWMOL,-1,Don't know
MARWMOL,0,Disapprove
MARWMOL,1,Approve
FAMCLAB,-9,Break off
FAMCLAB,-7,Legal skip
FAMCLAB,-3,Interviewer error
FAMCLAB,-2,Refuse to answer
FAMCLAB,-1,Don't know
FAMCLAB,0,No
FAMCLAB,1,Yes
CLFRDAB,-9,Break off
CLFRDAB,-7,Legal skip
CLFRDAB,-3,Interviewer error
CLFRDAB,-2,Refuse to answer
CLFRDAB,-1,Don't know
CLFRDAB,0,No
CLFRDAB,1,Yes
FATEINLF,-9,Break off
FATEINLF,-7,Legal skip
FATEINLF,-3,Interviewer error
FATEINLF,-2,Refuse to answer
FATEINLF,-1,Don't know
FATEINLF,1,Everything in life is determined by fate
FATEINLF,10,People shape their fate themselves
LIFESAT,-9,Break off
LIFESAT,-7,Legal skip
LIFESAT,-3,Interviewer error
LIFESAT,-2,Refuse to answer
LIFESAT,-1,Don't know
LIFESAT,1,Not satisfied at all
LIFESAT,10,Completely satisfied
EXPREPN,-9,Break off
EXPREPN,-7,Legal skip
EXPREPN,-3,Interviewer error
EXPREPN,-2,Refuse to answer
EXPREPN,-1,Don't know
EXPREPN,1,Not at all likely
EXPREPN,10,Very likely
EXPILL,-9,Break off
EXPILL,-7,Legal skip
EXPILL,-3,Interviewer error
EXPILL,-2,Refuse to answer
EXPILL,-1,Don't know
EXPILL,1,Not at all likely
EXPILL,10,Very likely
EXPMON,-9,Break off
EXPMON,-7,Legal skip
EXPMON,-3,Interviewer error
EXPMON,-2,Refuse to answer
EXPMON,-1,Don't know
EXPMON,1,Not at all likely
EXPMON,10,Very likely
JUSDVRS,-9,Break off
JUSDVRS,-7,Legal skip
JUSDVRS,-3,Interviewer error
JUSDVRS,-2,Refuse to answer
JUSDVRS,-1,Don't know
JUSDVRS,1,Can never be justified
JUSDVRS,10,Can always be justified
JUSABOR,-9,Break off
JUSABOR,-7,Legal skip
JUSABOR,-3,Interviewer error
JUSABOR,-2,Refuse to answer
JUSABOR,-1,Don't know
JUSABOR,1,Can never be justified
JUSABOR,10,Can always be justified
JUSSPOUS,-9,Break off
JUSSPOUS,-7,Legal skip
JUSSPOUS,-3,Interviewer error
JUSSPOUS,-2,Refuse to answer
JUSSPOUS,-1,Don't know
JUSSPOUS,1,Can never be justified
JUSSPOUS,10,Can always be justified
TRUGOCH,-9,Break off
TRUGOCH,-7,Legal skip
TRUGOCH,-5,Not asked
TRUGOCH,-3,Interviewer error
TRUGOCH,-2,Refuse to answer
TRUGOCH,-1,Don't know
TRUGOCH,1,Do not trust at all
TRUGOCH,10,Completely trust
EMPLSIT,-9,Break off
EMPLSIT,-7,Legal skip
EMPLSIT,-3,Interviewer error
EMPLSIT,-2,Refuse to answer
EMPLSIT,-1,Don't know
EMPLSIT,1,Retired not working
EMPLSIT,2,Student not working
EMPLSIT,3,Housewife not working
EMPLSIT,4,Unemployed
EMPLSIT,5,Have a job (employee)
EMPLSIT,6,Self-employed
EMPLSIT,7,Disabled
EMPLSIT,8,Other
UNEMYRS,-9,Break off
UNEMYRS,-7,Legal skip
UNEMYRS,-5,Never had a job
UNEMYRS,-3,Interviewer error
UNEMYRS,-2,Refuse to answer
UNEMYRS,-1,Don't know
INTSTJOB,-9,Break off
INTSTJOB,-7,Legal skip
INTSTJOB,-3,Interviewer error
INTSTJOB,-2,Refuse to answer
INTSTJOB,-1,Don't know
INTSTJOB,0,No
INTSTJOB,1,Yes
LOOKJOB,-9,Break off
LOOKJOB,-7,Legal skip
LOOKJOB,-3,Interviewer error
LOOKJOB,-2,Refuse to answer
LOOKJOB,-1,Don't know
LOOKJOB,0,No
LOOKJOB,1,Yes
JOBSTART,-9,Break off
JOBSTART,-7,Legal skip
JOBSTART,-3,Interviewer error
JOBSTART,-2,Refuse to answer
JOBSTART,-1,Don't know
JOBSTART,0,No
JOBSTART,1,Yes
WORKTYP,-9,Break off
WORKTYP,-7,Legal skip
WORKTYP,-3,Interviewer error
WORKTYP,-2,Refuse to answer
WORKTYP,-1,Don't know
WORKTYP,1,Own business without employees
WORKTYP,2,Own business with employees
WORKTYP,3,Employee in a small family business
WORKTYP,4,Employee in a medium/big private organization
WORKTYP,5,Employee in a state organization
WORKTYP,6,Employee in a foreign organization/business
WORKTYP,7,Employee in a local/international NGO
WORKTYP,8,Other
WORKYRS,-9,Break off
WORKYRS,-7,Legal skip
WORKYRS,-3,Interviewer error
WORKYRS,-2,Refuse to answer
WORKYRS,-1,Don't know
WORKSEC,-9,Break off
WORKSEC,-7,Legal skip
WORKSEC,-3,Interviewer error
WORKSEC,-2,Refuse to answer
WORKSEC,-1,Don't know
WORKSEC,1,"Agriculture, hunting, forestry"
WORKSEC,2,Fishing
WORKSEC,3,"Mining, quarrying"
WORKSEC,4,Manufacturing
WORKSEC,5,"Electricity, gas, water supply"
WORKSEC,6,Construction
WORKSEC,7,"Trade, repair of vehicles/goods"
WORKSEC,8,"Hotels, restaurants, cafes"
WORKSEC,9,"Transport, storage, communication"
WORKSEC,10,Financial intermediation/Banking
WORKSEC,11,"Real estate, property renting"
WORKSEC,12,"Government, public administration, defense"
WORKSEC,13,Education
WORKSEC,14,"Healthcare, social work"
WORKSEC,15,Civil society/NGO
WORKSEC,16,Mass media
WORKSEC,17,Other
JOBDESC,-9,Break off
JOBDESC,-7,Legal skip
JOBDESC,-3,Interviewer error
JOBDESC,-2,Refuse to answer
JOBDESC,-1,Don't know
JOBDESC,1,Manager
JOBDESC,2,Professional
JOBDESC,3,Technician / Associate professional
JOBDESC,4,Clerical support worker
JOBDESC,5,Service / sales worker
JOBDESC,6,Skilled agricultural / forestry / fishery worker
JOBDESC,7,Craft and related trades worker
JOBDESC,8,Plant and machine operator / assembler
JOBDESC,9,Elementary occupation
JOBDESC,10,Armed forces occupation
JOBDESC,11,Other
JOBSATFN,-9,Break off
JOBSATFN,-7,Legal skip
JOBSATFN,-3,Interviewer error
JOBSATFN,-2,Refuse to answer
JOBSATFN,-1,Don't know
JOBSATFN,1,Very dissatisfied
JOBSATFN,2,Somewhat dissatisfied
JOBSATFN,3,In the middle
JOBSATFN,4,Somewhat satisfied
JOBSATFN,5,Very satisfied
WORKVAL,-9,Break off
WORKVAL,-7,Legal skip
WORKVAL,-3,Interviewer error
WORKVAL,-2,Refuse to answer
WORKVAL,-1,Don't know
WORKVAL,1,Completely disagree
WORKVAL,2,Somewhat disagree
WORKVAL,3,Somewhat agree
