280,1,9,213,2,1,1,2,2,2,2,4,4,4,2,4,4,2,4,4,4,3,4,,,,17,18,18,18,1,3,4,3,3,3,3,0,0,3,3,4,4,4,4,4,4,4,5,5,5,4,3,2,4,3,2,4,4,4,4,4,4,4,4,4,4,99,3,2,1,7,6,4,5,12,13,,14,15,,2,3,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,3,,,,,,,2,,,,,,,,2,,,,,,,,3,4,,,,,,,3,4,7,,,,,,2,,,,,,,,3,4,,,,,,,4,1,3,,,2,,,,2,,,,2,,,,2,,,,2,,,,,2,2,,,,,,,,2,3,3,3,3,3,1,5,12,2,2,,,,,,,1,1,4,99,3,3,3,3,3,3,3,3,3,3,2,43,3,3,1,5,2,1,1,,,,,,,,2006,2009,,,,,,,,4,9,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,8,,,1,1,4,3,1,2,,,,,1,2,1,20,1916.8313253012,1.98443193348929,
2526,1,11,89,3,2,2,4,4,4,1,4,4,4,3,4,4,2,4,4,4,1,4,,,,12,12,20,25,2,2,3,4,2,4,4,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,2,5,6,3,7,12,,,11,,,2,6,,,,,,,,5,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,5,,,,,,,,5,,,,,,,,2,,,,,,,,2,,,,,,,,3,,,,,,,,6,,,,,,,,5,,,,,,,,3,,,,,,,,4,1,,,,2,,,,2,,,,2,,,,2,,,,1,2,,,,1,7,,,,,,,,4,4,4,4,4,4,1,,,2,2,,,,,,,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,59,5,5,1,7,5,2,2,1,2,2,,,,,2007,2001,1997,1997,1995,,,,,1,11,12,7,4,,,,,1,,,,,,1,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2,4,6,,,4,2,4,4,3,25,,,,,1,2,1,33,1079.51470588235,1.11758579210804,
1214,1,4,138,2,3,2,4,4,4,3,4,4,4,3,3,3,2,5,5,4,3,3,4,,,16,18,17,20,1,4,4,3,4,4,3,0,0,4,3,4,4,4,4,4,4,4,4,4,4,4,2,5,4,1,2,5,5,5,5,5,5,5,5,5,5,5,4,3,5,6,1,2,7,12,13,15,12,14,15,4,2,3,5,,,,,,2,5,6,,,,,,2,3,,,,,,,2,3,,,,,,,2,3,,,,,,,1,3,5,6,,,,,1,5,,,,,,,1,5,,,,,,,2,6,,,,,,,1,5,6,,,,,,1,3,5,,,,,,1,3,,,,,,,2,3,4,,,,,,2,5,,,,,,,2,5,6,,,,,,3,4,,,,,,,3,1,3,,,1,3,,,1,3,,,3,,,,2,3,,,2,,,,,2,2,,,,,,,,3,3,3,3,3,3,1,14,16,2,2,,,,,,,1,1,3,3,1,3,2,3,3,3,2,3,3,3,2,60,5,5,1,8,3,2,2,2,,,,,,,2009,2003,2004,,,,,,,3,6,5,,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,,,,,,,,1,2,4,8,,,3,3,1,1,3,2,,,,,1,2,1,37,841.074074074074,0.870736109636703,
1943,1,5,157,2,1,1,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,2,4,,,15,15,20,20,1,4,4,4,4,4,4,14,14,4,2,2,4,4,4,4,4,4,4,5,5,4,2,4,2,2,2,5,5,5,5,5,5,5,5,5,5,4,1,2,5,7,4,3,6,15,,,15,,,2,1,,,,,,,,2,6,,,,,,,3,4,,,,,,,3,7,,,,,,,2,3,4,,,,,,1,3,,,,,,,4,6,,,,,,,4,6,,,,,,,1,3,5,6,,,,,2,4,8,,,,,,1,3,7,,,,,,2,7,8,,,,,,2,3,4,,,,,,3,5,6,,,,,,2,4,5,,,,,,2,3,4,,,,,,2,1,3,,,2,3,,,2,3,,,2,3,,,2,3,,,1,2,,,,1,3,7,,,,,,,2,2,2,2,2,2,1,13,,2,2,,,,,,,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,30,2,2,1,5,3,2,1,1,,,,,,,2006,2007,2008,,,,,,,8,2,8,,,,,,,1,1,1,,,,2,2,2,,,,,,,3,3,3,,,,,,,,,,,,,,,,7,7,7,,,,,,,1,1,4,6,,,1,1,4,2,1,12,,,,,1,1,1,5,260.488636363636,0.269675250757838,
613,1,6,261,2,1,1,5,4,4,4,5,5,5,4,5,5,4,5,5,5,3,3,,,,13,13,18,20,1,3,3,2,3,1,2,8,8,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,4,1,3,4,4,4,4,4,3,2,5,2,2,5,1,5,6,4,2,3,7,6,8,10,6,9,13,2,2,3,4,,,,,,1,3,4,8,,,,,2,3,8,,,,,,2,3,7,,,,,,2,3,6,,,,,,1,3,6,,,,,,1,3,,,,,,,1,3,,,,,,,1,5,6,8,,,,,1,3,4,8,,,,,2,8,,,,,,,1,3,8,,,,,,3,4,,,,,,,2,3,4,5,6,,,,1,3,6,7,8,,,,3,4,,,,,,,1,1,2,3,,1,3,,,1,2,3,,3,,,,3,,,,2,,,,,3,2,3,11,,,,,,4,4,4,4,4,4,1,3,,2,2,,,,,,,1,1,3,3,2,3,2,3,3,3,3,3,3,3,1,37,3,3,1,6,3,2,1,2,,,,,,,2006,2005,2003,,,,,,,11,5,10,,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,3,6,,,1,1,4,1,2,2,,,,,2,2,1,6,790.317307692308,0.818189311846446,
4082,2,6,317,2,3,2,4,4,4,3,4,5,5,3,2,4,2,2,2,2,3,4,,,,15,18,20,25,1,2,3,4,4,4,4,0,0,2,4,4,4,4,5,5,5,5,5,5,2,5,1,1,4,1,4,3,3,3,3,4,4,4,3,3,3,5,7,6,3,5,1,2,4,16,,,20,,,2,3,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,2,,,,,,,,5,,,,,,,,2,,,,,,,,2,,,,,,,,5,,,,,,,,5,,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,,7,,,,,,,,5,,,,,,,,8,,,,,,,,2,1,,,,3,,,,1,,,,3,,,,3,,,,1,3,,,,1,7,,,,,,,,4,4,4,4,4,3,1,11,,1,2,,,,,,,1,1,3,3,3,3,1,1,3,1,3,3,3,3,1,41,3,3,3,7,3,1,2,2,,,,,,,2006,2003,1999,,,,,,,12,3,1,,,,,,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,,,,,,,,,1,1,4,6,,,3,3,4,1,2,2,,,,,1,1,1,28,594.385964912281,0.615348087242071,
714,1,6,262,2,3,2,4,4,4,3,5,5,5,4,4,4,3,5,5,5,3,3,,,,18,18,18,22,1,3,4,4,4,4,2,99,8,1,4,4,4,5,5,5,5,5,5,5,5,5,4,1,5,2,2,4,4,4,4,2,3,99,4,2,4,5,2,6,5,3,4,1,7,6,8,11,6,11,14,5,2,3,,,,,,,1,3,4,6,,,,,3,,,,,,,,2,3,,,,,,,2,3,,,,,,,1,3,,,,,,,1,3,,,,,,,1,3,,,,,,,1,3,4,6,8,,,,1,3,,,,,,,2,,,,,,,,2,,,,,,,,3,4,,,,,,,2,3,4,7,,,,,1,3,4,6,,,,,3,4,,,,,,,4,1,2,3,,2,3,,,3,,,,3,,,,3,,,,2,,,,,2,2,3,4,7,,,,,4,4,4,4,2,2,1,3,11,2,2,,,,,,,1,1,3,3,1,2,3,2,3,3,3,3,3,3,2,54,4,4,1,6,2,1,2,,,,,,,,2008,2009,,,,,,,,12,3,,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,2,2,,,,,,,,1,2,4,1,3,36,3,3,1,1,3,2,,,,,1,3,2,39,1131.55,1.17145620728364,
2875,2,8,327,2,2,2,4,4,4,2,4,4,4,1,4,4,1,4,4,4,1,4,,,,16,18,20,24,1,4,4,2,2,4,2,0,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,5,2,3,4,6,5,1,7,99,,,99,,,2,3,,,,,,,,1,3,,,,,,,2,3,,,,,,,3,,,,,,,,3,,,,,,,,2,4,,,,,,,2,,,,,,,,2,,,,,,,,1,3,6,,,,,,1,3,6,7,,,,,2,,,,,,,,2,,,,,,,,3,4,,,,,,,3,4,,,,,,,2,,,,,,,,3,4,,,,,,,4,1,,,,1,,,,1,,,,1,,,,1,,,,2,,,,,2,7,,,,,,,,4,4,4,3,5,3,1,6,12,1,2,,,,,,,1,1,3,3,1,2,1,3,3,3,3,3,3,3,1,24,1,1,1,5,3,1,2,1,,,,,,,2008,2008,2011,,,,,,,1,8,10,,,,,,,1,1,,,,,2,2,,,,,,,,3,3,,,,,,,,,,,,,,,,,7,7,,,,,,,,1,1,4,6,,,4,2,4,2,2,1,,,,,1,2,1,30,304,0.314721123250608,
2310,1,8,235,2,2,2,3,3,3,1,4,4,4,2,4,4,2,5,5,5,2,4,,,,14,14,20,24,1,4,4,1,4,1,1,0,6,4,4,4,4,4,4,4,4,4,4,5,4,5,2,5,4,4,3,4,4,4,3,3,4,2,4,3,4,4,1,2,3,7,4,6,5,12,,,10,,,2,3,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,4,,,,,,,2,,,,,,,,2,,,,,,,,3,,,,,,,,3,,,,,,,,2,,,,,,,,3,4,,,,,,,3,1,,,,3,,,,3,,,,3,,,,3,,,,2,,,,,3,2,,,,,,,,3,3,3,4,3,3,1,,,2,2,,,,,,,1,1,2,3,3,3,3,2,2,2,3,3,3,2,2,28,2,2,1,6,2,1,2,,,,,,,,2009,2006,,,,,,,,7,6,,,,,,,,1,1,,,,,2,2,,,,,,,,3,2,,,,,,,,,,,,,,,,,7,7,,,,,,,,1,1,4,8,,,4,1,2,3,2,1,,,,,2,3,2,40,771.235294117647,0.798434335707957,
1450,2,4,302,2,3,2,5,5,5,4,5,5,5,4,5,5,4,5,5,5,4,99,,,,18,18,20,20,1,4,4,2,2,5,2,0,0,2,5,2,5,5,5,5,5,5,5,5,5,5,2,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,5,7,4,6,10,,,10,,,5,3,,,,,,,,2,,,,,,,,2,3,,,,,,,3,,,,,,,,2,3,,,,,,,1,3,4,5,6,7,8,9,2,,,,,,,,1,4,,,,,,,1,3,4,5,6,7,8,9,1,3,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,,2,4,,,,,,,1,3,4,,,,,,4,,,,,,,,3,1,2,3,,1,2,3,,2,,,,2,3,,,2,3,,,1,1,2,3,4,1,14,,,,,,,,4,4,4,4,4,4,1,4,15,2,2,,,,,,,1,1,3,3,3,3,2,3,3,3,3,3,3,3,1,48,4,4,2,6,2,2,2,,,,,,,,2008,2006,,,,,,,,11,8,,,,,,,,1,1,,,,,2,1,,,,,,,,3,1,,,,,,,,,1,,,,,,,,15,,,,,,,,,2,2,4,8,,,3,3,4,2,1,1,,,,,2,1,1,26,567.04347826087,0.587041317138792,
